Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTCM QA Automation,Chrome 72.0.3626.121,,2019-03-08 12:48:39,2019-03-08 12:50:26,1m - 46.627s,PASSED
,,,,,,
Test Cases/Language Change/DTCM Language Change Eng-Fr-Eng,Chrome 72.0.3626.121,,2019-03-08 12:48:40,2019-03-08 12:49:30,50.518s,PASSED
"openBrowser(""https://www.katalon.com/"")",Chrome 72.0.3626.121,,2019-03-08 12:48:40,2019-03-08 12:48:53,12.742s,PASSED
driver = getWebDriver(),Chrome 72.0.3626.121,,2019-03-08 12:48:53,2019-03-08 12:48:53,0.010s,PASSED
"baseUrl = ""https://www.katalon.com/""",Chrome 72.0.3626.121,,2019-03-08 12:48:53,2019-03-08 12:48:53,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 72.0.3626.121,,2019-03-08 12:48:53,2019-03-08 12:48:53,0.089s,PASSED
"selenium.open(""https://qacd2.testvisitdubai.com/en/account/login?v=78798789"")",Chrome 72.0.3626.121,,2019-03-08 12:48:53,2019-03-08 12:48:58,5.668s,PASSED
window().maximize(),Chrome 72.0.3626.121,,2019-03-08 12:48:58,2019-03-08 12:49:00,1.152s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='English'])[2]/following::span[1]"")",Chrome 72.0.3626.121,,2019-03-08 12:49:00,2019-03-08 12:49:00,0.095s,PASSED
Thread.sleep(4000),Chrome 72.0.3626.121,,2019-03-08 12:49:00,2019-03-08 12:49:04,4.003s,PASSED
"selenium.click(""css=.dd-options:first li:nth-child(9) .dd-option"")",Chrome 72.0.3626.121,,2019-03-08 12:49:04,2019-03-08 12:49:10,6.720s,PASSED
Thread.sleep(10000),Chrome 72.0.3626.121,,2019-03-08 12:49:10,2019-03-08 12:49:20,10.001s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Français'])[2]/following::span[1]"")",Chrome 72.0.3626.121,,2019-03-08 12:49:20,2019-03-08 12:49:21,0.115s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.121,,2019-03-08 12:49:21,2019-03-08 12:49:23,2.000s,PASSED
"selenium.click(""css=.dd-options:first li:nth-child(1) .dd-option"")",Chrome 72.0.3626.121,,2019-03-08 12:49:23,2019-03-08 12:49:30,7.662s,PASSED
,,,,,,
Test Cases/Login and logout/DTCM Invalid Login Scenario,Chrome 72.0.3626.121,,2019-03-08 12:49:30,2019-03-08 12:49:51,20.701s,PASSED
